appointment_id,pet_id,doctor_id,appointment_type,notes,status,created_at,updated_at,check_in,check_out
56f1901d-aa96-406c-82c9-eae838c2db79,77949b3f-457d-4e0d-99e0-a1871877606a,700f536e-1c77-40d0-900d-b2b70b429a87,hotel,,completed,2024-06-27 00:15:43.798378+07:00,2024-06-27 09:12:25.798378+07:00,2025-03-21 13:01:10.199863+07:00,2025-03-24 15:01:10.199863+07:00
db3678d2-0588-4f1c-bc7f-d68d5d545f8c,23a054f9-6f0c-472c-8d43-27198f683dd3,6a0a4d57-c67c-4659-8e49-da88220a4104,hotel,Pet may need to stay for observation after appointment,confirmed,2024-09-13 00:11:21.798378+07:00,2024-09-15 06:39:27.798378+07:00,2025-03-15 17:30:10.199863+07:00,2025-03-18 18:30:10.199863+07:00
db1c2f89-d1f3-4f62-843f-3dd8c6f06fdc,f6ab528a-8481-4ce4-a7bf-1bd7c0df1ec0,b3763f22-e06d-40db-b94f-25fbd158a4f0,beauty,inform the vet in advance,completed,2024-10-07 15:17:47.798378+07:00,2024-10-07 21:15:26.798378+07:00,2025-05-30 07:44:10.199863+07:00,2025-06-02 12:44:10.199863+07:00
2e408f1d-b04d-4bf2-b7cf-16f202f8296d,41e27374-efd7-470d-a8ed-4ad51ea096a9,5cc2cf52-b07d-4856-8fb3-cabbbfba4cb6,hotel,Ensure pet is fasting before appointment,pending,2024-10-09 15:07:01.798378+07:00,2024-10-16 20:02:40.798378+07:00,2025-06-07 01:12:10.199863+07:00,2025-06-11 01:12:10.199863+07:00
cddc392d-1105-4a7a-b829-1344f00c07fa,88902bcf-4e25-425b-ba18-260fd4999679,c754e3c3-83fb-442b-8366-702e27264941,beauty,If pet has allergies,pending,2024-09-19 18:10:17.798378+07:00,2024-09-25 21:04:03.798378+07:00,2025-06-06 05:48:10.199863+07:00,2025-06-11 13:48:10.199863+07:00
d0de1ed2-e015-440a-bcc6-4d6154152601,b5bf2003-07a5-4a83-95c7-bde84f67ff39,e35e3077-e068-434f-b35b-34afcae9c7d4,hotel,Wear comfortable clothing for handling pet,confirmed,2025-01-21 04:03:34.798378+07:00,2025-01-29 07:11:57.798378+07:00,2025-05-24 23:24:10.199863+07:00,2025-05-30 00:24:10.199863+07:00
92e17342-c21a-4908-a9fe-cbeee40c6bf1,97a25edc-ed42-4917-810e-55bde52bc59d,e9e79837-7736-46ba-980c-9590776a4e68,hotel,,pending,2024-05-31 08:34:10.798378+07:00,2024-05-31 12:47:46.798378+07:00,2025-05-04 03:48:10.199863+07:00,2025-05-05 11:48:10.199863+07:00
6491dcda-7aba-4132-8d71-9d67acc01314,d282b561-29c5-40f1-aaa8-23caea6252ce,e1ddc76c-3d35-47c9-b6b2-d8655a809d57,medical,Keep pet on leash or in carrier during visit,completed,2024-07-02 19:25:12.798378+07:00,2024-07-04 22:40:58.798378+07:00,2025-03-25 05:35:10.199863+07:00,2025-03-27 06:35:10.199863+07:00
fb81ec99-a881-463f-9fa7-2d5e782e522c,3cfd514e-ee99-49b7-810a-4fdc29757802,82852627-7d5e-4d6e-8721-4a2572fe0a35,medical,,completed,2025-05-18 01:37:43.798378+07:00,2025-05-20 10:48:51.798378+07:00,2025-05-12 09:07:10.199863+07:00,2025-05-13 12:07:10.199863+07:00
3619fd64-3e7c-4421-9812-d7cedd16c5c2,cdb54622-9949-4ff3-a811-d54d8f91f8bd,2d3bda44-92a2-4581-b86a-8ca3fe33ffbc,beauty,Let the vet know if pet is pregnant,cancelled,2024-06-30 21:56:15.798378+07:00,2024-07-10 01:57:45.798378+07:00,2025-04-12 15:11:10.199863+07:00,2025-04-17 23:11:10.199863+07:00
cf9b5cd8-ac43-4145-8b6b-9f43a1b5087a,65debe89-1187-4b46-94cc-f5eba97ec98d,09362660-6239-438a-ad9f-ff478ca8e70c,hotel,,completed,2023-07-25 11:18:04.798378+07:00,2023-07-27 22:41:58.798378+07:00,2025-05-14 22:55:10.199863+07:00,2025-05-19 04:55:10.199863+07:00
88bae2cd-d5de-4788-a96b-7e18e7bc6d9b,cd841289-62e7-4caf-a6af-0a67a6096875,d15a3590-f9ff-4cce-a728-56d6221344ba,medical,Avoid feeding pet 4 hours prior,pending,2025-03-12 21:56:27.798378+07:00,2025-03-20 02:43:56.798378+07:00,2025-05-23 19:18:10.199863+07:00,2025-05-25 20:18:10.199863+07:00
c8963e65-f128-473b-8570-c09d2d085b60,c6751772-f498-446e-b657-f3244d9f00b2,e30d0ea4-f63b-466a-917e-916943b69f42,medical,,cancelled,2023-11-18 19:30:09.798378+07:00,2023-11-27 02:36:57.798378+07:00,2025-03-13 09:15:10.199863+07:00,2025-03-17 16:15:10.199863+07:00
c442a759-d133-4c2b-ab0b-31e95e0dda29,e80b9a3f-88c1-4027-9757-b8a8c84bddcc,4168f51d-c2fe-4952-8416-57868f4035e0,medical,Do not schedule multiple services on the same day if pet is anxious,completed,2025-04-18 02:27:26.798378+07:00,2025-04-22 13:34:28.798378+07:00,2025-05-30 06:06:10.199863+07:00,2025-06-01 14:06:10.199863+07:00
da1ebbf9-ab92-4926-ae59-31d993d0a862,30ea381c-0eb2-409f-b40e-79ad9aa8c1e6,d3cee14d-a1c3-4e19-ab98-92b4990320de,hotel,,pending,2024-06-20 23:08:10.798378+07:00,2024-06-22 03:36:32.798378+07:00,2025-04-17 09:12:10.199863+07:00,2025-04-20 09:12:10.199863+07:00
0f5725bb-98c1-4729-b2a9-3ad4c972f788,5754558e-c1eb-4c83-b391-ef32d95e40e7,bd837107-da76-4455-ab90-2f15ed49f2ed,hotel,Wear a cone if recently treated,pending,2025-02-13 17:36:28.798378+07:00,2025-02-19 19:53:27.798378+07:00,2025-05-28 10:35:10.199863+07:00,2025-05-31 19:35:10.199863+07:00
f2c1bf21-7cef-4f76-9369-ddbdd36a3001,e210c4ef-870b-4356-875d-5f5b42834704,1dc3a843-bff8-4aaf-8900-61d38a92e100,hotel,If pet has allergies,confirmed,2024-10-29 07:21:57.798378+07:00,2024-11-05 11:49:36.798378+07:00,2025-03-13 12:10:10.199863+07:00,2025-03-15 15:10:10.199863+07:00
78a94c98-10a4-4138-b78c-c0c1979c4b29,9fa27500-109b-4d28-93e2-8064e0ccc4c1,3396c0f5-1d1d-48c9-8d62-59e1d84ce3ca,beauty,,completed,2024-12-23 10:32:09.798378+07:00,2024-12-27 16:32:36.798378+07:00,2025-03-12 12:25:10.199863+07:00,2025-03-15 14:25:10.199863+07:00
af43017b-f118-4a38-9b45-9489e8c4f645,d542bd76-8285-4116-829c-10a6ae339482,95c9f549-e476-434d-b53f-87e302fddb14,medical,If pet has allergies,completed,2024-11-20 07:07:42.798378+07:00,2024-11-21 15:35:50.798378+07:00,2025-05-25 06:36:10.199863+07:00,2025-05-28 11:36:10.199863+07:00
