stay_id,check_in,check_out,room_number,special_care,pet_id,staff_id
a73c9b08-9c19-4935-8abd-c2df7aa2d1aa,7/1/2019,11/25/2001,NZ1420,Needs rest and quiet environment,a0380b7a-d21e-4c4c-9417-8b6baede2a0b,584795f4-f313-47e2-b4b1-44ce3ed36153
025d6d71-e627-4927-9e43-feab96f03b1c,9/28/2017,8/3/2010,EK9724,Special care for dental health,e6af1acf-679d-416b-906e-3e103c7f2e53,7f44bc47-938d-4677-a6e2-976d863435cc
bd7c99f9-5170-4b74-8623-fdc30c38a475,10/10/2003,4/20/2016,SK3956,,653a0499-59d0-422d-8f0e-03f2f85b32ea,9f072d7e-2ae1-4992-a02b-3eb96c2c338e
d917b197-3f5b-43a7-a7df-a2f4ac37bcfd,1/29/2010,4/8/2021,AA8058,Avoid too much sun exposure,01d0d18c-2bb4-4908-9f4d-006ac1ff8f75,a5f80e60-c4c0-406c-bf66-453648dce324
1cf0d263-db63-474c-b04d-7fcdf323df3b,5/7/2004,6/23/2010,KE9386,Requires gentle handling,b1b80f4c-2385-4316-be74-35f3efac0a4a,2b3f83d3-249b-4c26-816e-2bf68a066252
02b9c112-3560-4d9f-ba25-3665cc2f02f5,4/19/2000,4/4/2017,WN7180,Requires daily medication,319924a2-5772-458a-abf8-d2b567a71e85,4e932fe1-3e71-4831-8ad6-2712b88204a4
7ebf5ddf-2eac-4528-8528-7df7e49663d5,3/20/2019,7/22/2017,LA5663,Requires special bathing products,718a3c1b-7b12-4a76-9562-28c0eaa11ddc,8e4a4238-c039-46f0-93c0-68c688f7d6ef
fe2e033f-2f91-4c33-9635-aaba24c34b32,10/2/2016,8/28/2014,EK9670,Must be checked for skin irritations,e19d1c10-6f10-4dc7-9547-defb623993eb,2b3f83d3-249b-4c26-816e-2bf68a066252
77fc07a4-9df4-4b0c-b421-718d717f3a3d,7/9/2015,6/28/2024,LA1250,Must be kept warm,4311cbdc-1c8f-4b61-81ea-7f422d0bf690,0b5f28ce-e11a-4589-aa3d-b49b50d329c2
a33690b2-2171-4717-b47d-d4294608ee5f,1/11/2020,4/9/2014,AV5985,Avoid high-energy activities,ea05749b-7ec0-40f7-8418-7379ad85c8cb,c644bf08-e946-472b-89da-29f6d6abac17
