record_id,diagnosis,treatment,notes,date_of_visit,create_at,update_at,pet_id,vet_id
194eb2b8-d355-4977-b818-f19e8ba2f18b,Cushing's Disease,Nebulization,Keep wound dry,8/15/2021,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,4b668ac7-19ce-497c-8ad8-90987e0823f6,92c667c9-9dc8-4c9a-a4c7-5ef3572a997f
0722522a-7c10-45cb-a4ec-570d57d0da13,Eye Infection,Behavior modification,Requires special diet,6/16/2010,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,e9b60d39-cde2-46ba-bc22-b9fea4bd6213,53f34619-10ca-4e6b-9bb9-98af7cf40298
6b1fa67a-51f7-4072-8f66-03ae89ec1329,Heartworm Disease,Flea treatment,,5/29/2007,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,169d004b-aae2-4a86-87cc-85aa07522757,f43409fc-6e08-4b76-822a-b1f151010f5b
d3c7fb33-446e-4ab6-b126-7af2d3ac118a,Tumor,Pain relief,Needs regular vaccinations,5/17/2013,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,526cae3c-fa6e-478d-a439-d9298f9e38d2,39305a66-22f1-4f41-a3ca-438e5ac802ea
9345ea49-eef4-4c22-b648-5d4194062982,Flea Infestation,Behavior modification,Do not feed after 8pm,2/1/2004,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,f2d29c90-540d-4080-8d6c-360eb40b2fc2,3c3068a5-c174-476a-aba0-6d6d40d097ce
31775ce0-b50c-414f-b289-c4ba017fdc6b,Dental Disease,Surgical intervention,Limit water intake,8/5/2005,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,ab2c0e90-750a-4340-a2c6-49af96100dfa,09362660-6239-438a-ad9f-ff478ca8e70c
7a61d364-bcdd-44ed-8d9b-2c739b4eb797,Respiratory Infection,Topical ointments,Regular vet check-ups recommended,9/7/2012,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,169d004b-aae2-4a86-87cc-85aa07522757,591d2afe-1b54-49b2-b807-3dfbe357b606
e9c1a8e1-0041-47b0-a080-72e1afd3a5d2,Autoimmune Disease,Radiotherapy,Should be kept in a cool place,4/6/2022,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,a6f8fceb-2441-4650-a916-4fa71ac374f4,de52a307-8248-4c00-977c-f4160d9cd3e8
eae2ee02-1261-4892-9d22-1c5abbe1aff1,Arthritis,Flea treatment,Limit treats,12/18/2003,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,fa9c6476-df8a-4e72-8606-a335d1b159ad,8107fe7f-b2ed-410c-bee6-e4031dad6450
4f4494d1-71b9-430a-87b8-8a668da16aad,Ringworm,Nebulization,Requires special diet,9/29/2011,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,1570fb23-fc76-420f-bf9d-2b9ff9c9a21d,6a0a4d57-c67c-4659-8e49-da88220a4104
a851315e-436a-48d8-9969-398b4bb46fc0,Skin Infection,Anti-inflammatory medications,Ensure sufficient hydration,5/18/2018,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,8593ece9-8db7-4f51-b04f-0119c5932259,df66b46d-76b3-4966-962f-d90b54965ac7
ab01c59c-071b-4356-9922-63318df215f5,Tumor,Surgical intervention,Administer medication twice daily,10/24/2020,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,9050a535-b2b8-4123-8dcd-fa6ff3e9a643,6f15ac7b-e857-41ae-b67b-b176dd8cedbc
11b16fba-c4be-46d1-8d87-6a5706a34fa8,Kidney Disease,Wound cleaning,Record symptoms for next visit,1/27/2024,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,b1b80f4c-2385-4316-be74-35f3efac0a4a,95f7dd28-b84a-4567-81c0-e53695328131
4ed6514e-4e8b-4f26-95d4-99fb98576216,Hypothyroidism,Behavior modification,Keep wound dry,12/22/2006,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,b65558a7-1b5d-41b3-9049-4adec914595c,d3b1e076-fa39-451b-978c-1ec5f2ab9e62
0710a8ff-967b-4cdf-8a0f-608d01a396b3,Diarrhea,Behavior modification,Avoid interaction with children until fully recovered,10/7/2022,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,169d004b-aae2-4a86-87cc-85aa07522757,869eecfc-f289-447a-abda-c96b192d9079
5f559e30-fb1a-4360-bfd5-56c60bba1981,Autoimmune Disease,Pain relief,Limit treats,7/25/2021,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,66c49056-f194-49fe-bbf8-d32aa37f24f3,f43409fc-6e08-4b76-822a-b1f151010f5b
6973fd2b-f62d-4be4-9fc6-8b6dc58874c2,Hip Dysplasia,Insulin injections,Needs regular vaccinations,6/7/2020,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,e6c34b7a-1832-4f1a-b751-c0f6820a0452,b8c284f0-4876-4617-b087-5fe5b9485996
40954a16-fddb-433e-bf83-8d7cd5112b16,Respiratory Infection,Acupuncture,,7/12/2012,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,ba9642d2-edec-482e-8bd4-f25edeb6f0b9,82852627-7d5e-4d6e-8721-4a2572fe0a35
acaf8dc6-a105-479c-9a04-cd5dde0bf5a0,Vomiting,Surgery,Requires special diet,6/12/2015,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,2630324a-3051-4a98-8b97-91ae8fb94342,b894e284-d6ea-487f-a6b8-a77c33ade36d
e01025bd-9aa9-4300-8091-9caa48906d6b,Kennel Cough,Steroid injections,Clean ears regularly,6/15/2024,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,0fc4ecca-da27-4555-aafb-074d5824b48f,82852627-7d5e-4d6e-8721-4a2572fe0a35
9c6e3931-fc64-42e7-aa72-70f032ccc49a,Tumor,Cold compress,Administer insulin after meals,3/16/2009,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,64e62669-a81a-4068-b62d-e6af67c8a559,e30d0ea4-f63b-466a-917e-916943b69f42
99747441-45ed-4612-a378-42036f44f214,Tumor,Flea treatment,Keep pet indoors,8/22/2023,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,801fb69a-f6a6-4514-b940-316a898c9e61,956c1eba-3a3a-4144-93eb-bb682410af5b
cd4c414e-890b-4396-a762-9086525ba252,Ringworm,Ear cleaning,Monitor appetite,5/19/2016,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,b12669d5-0878-48b3-bd67-6d3ffae6be40,ad838a0b-2f6b-4517-ac01-6efa8c08f04d
ab39e8b4-d054-4e61-8c53-d3fbcadae93c,Fungal Infection,Bandaging,Administer medication twice daily,4/9/2005,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,7c4a95c7-91d1-4b30-9960-b8698f4119ef,71388745-ca94-490e-b396-5d964572341c
ea7dc85c-3e00-448f-964b-a5d07d603c58,Feline Upper Respiratory Infection,Ear cleaning,Should be kept in a cool place,4/15/2018,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,aa24c5a3-864a-42f8-a333-53e51d3aa756,d01b7e67-8401-4e15-b7f3-a215096b478c
b87af136-286f-435a-8f4a-c48e1d7d7f9d,Diarrhea,Nebulization,Needs regular exercise,4/7/2023,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,61d428a6-136a-42cb-9bff-a8861f43c602,75139bb8-d800-42c7-9545-c9d3cfa628c1
a9dbd6f8-5eb7-4c90-834c-883c58b8a8f4,Flea Infestation,Surgery,Record symptoms for next visit,5/4/2003,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,df56c542-b8cd-4cad-8353-fb9d9e77e5f9,6420d4a4-df96-479c-bbf0-cfb2d078ecf7
0e86df8b-8386-4ed8-b1c5-0164143860b7,Diarrhea,Surgery,Keep pet indoors,6/6/2004,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,17cafc27-582c-4861-a81b-091b8ecc47f2,869eecfc-f289-447a-abda-c96b192d9079
4a9eacb9-c7b1-4c88-97dc-41126552c2cd,Pancreatitis,Pain relief,Avoid strenuous exercise,12/21/2019,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,b1535528-e718-4625-85b0-3174066cfc7b,bc34e8da-60d8-4f6d-9d4f-de73f99c77d1
66f6e430-69f8-4910-b2fd-338f37f72356,Skin Infection,Dental cleaning,,8/3/2003,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,efc95c2e-d74b-47b2-a068-11f635ad070d,2d2e7bc3-4e4c-4dc8-b980-29cd50541ba8
b9333669-3d2f-429c-b397-e0b18de383b2,Ringworm,Nebulization,Monitor for signs of infection,1/10/2019,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,166d21c9-aacd-4aa0-863c-b502530abf4d,3889a284-e09b-4474-9570-0900d8832a1d
63fc8b6e-48ce-42dd-8085-a6e679a614d0,Mange,Dental cleaning,,4/19/2001,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,48057bf2-b1e2-4ab8-be05-c815a01dfdec,b5f494d8-05cf-48d2-97b1-4cc74c26f9ab
0c3daaf3-71ee-42e8-8971-4ad2d2085de3,Tumor,Pain relief,Needs regular vaccinations,1/25/2009,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,911cc0d9-0418-4fec-89f4-bda98b877c77,f3b84fd6-6e2d-4f54-848d-38f5ad8149aa
1e5828fa-ae15-4d63-be48-f3584beda253,Tumor,Fluid therapy,Keep pet indoors,8/13/2007,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,c884c326-a1b6-4b2a-a383-798441b48d79,92c667c9-9dc8-4c9a-a4c7-5ef3572a997f
743d9d65-9732-46ca-ba29-4c54affd6060,Anemia,Eye drops,Do not feed after 8pm,9/15/2024,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,46ed17bb-daca-480e-8362-c0d3241dbd46,b80215bc-fe1b-4781-98da-6b63b6dd2469
48eda5a0-28b0-42db-9f56-833e81ede94d,Torn Ligament,Joint supplements,Needs grooming every 2 weeks,2/19/2022,2025-05-29 11:03:54.847057+07,2025-05-29 11:04:19.421243+07,6da51d96-5970-40e0-b256-1d1757be4a05,d3b1e076-fa39-451b-978c-1ec5f2ab9e62
