vaccination_id,vaccine_name,date_given,next_due,notes,pet_id,vet_id
857bdffb-161a-43f5-bbe5-727a4e4166b5,Leptospira,10/24/2020,11/27/2018,Check vaccination record for upcoming boosters,1e08ff63-aa08-4a61-aa0b-bb7f6e3679f3,95c9f549-e476-434d-b53f-87e302fddb14
5771f864-cbfb-442e-9a67-5b62c120cf30,Feline Calicivirus,11/26/2017,4/18/2011,Do not bathe pet for 24 hours,0c813b29-c3ad-4129-b499-5615c6513b3f,a9f4a9ea-e300-41f2-9ec1-da286d86e81e
fc60f46a-2434-46f1-8235-7a981c75e78b,Panleukopenia),11/23/2012,5/22/2000,Do not bathe pet for 24 hours,99689026-9a61-4526-8a60-24766e2bc02d,116ba9dc-4554-45e0-855e-07a6a7f55ff5
d6e473fa-d86c-4a9d-a4dd-bc67b82862dc,Parainfluenza),11/12/2008,1/11/2025,Inform vet if pet is pregnant or ill,4b804877-02bf-49b8-a583-a3bc3cb0c182,d01b7e67-8401-4e15-b7f3-a215096b478c
e0f85a4f-ee3e-4dd7-b4ef-edd663dc68e0,Leptospirosis,3/7/2002,4/23/2007,Vaccination may cause temporary loss of appetite,7a3e7990-c270-4e91-a3e2-6f93d2c0e08f,4168f51d-c2fe-4952-8416-57868f4035e0
524fbebc-a88b-4abb-b84d-b00f571dd3b6,Leptospira,8/29/2024,11/26/2024,Do not expose to unvaccinated animals for a few days,d7f5ebb8-4da7-46ca-81dc-02df51635999,92c667c9-9dc8-4c9a-a4c7-5ef3572a997f
a4bf9757-3ee3-46fd-ac7f-6ee7f1dc6f76,H3N8 Canine Influenza,10/13/2003,4/13/2015,Watch for excessive itching or swelling,4eeabad7-d2e5-41d6-a67a-c477a7baf4cb,49b2f9ba-653b-442b-a78c-6e695e5bb98a
c0964a55-2940-471c-b9ee-62edce16add0,Feline Rhinotracheitis,12/7/2015,11/11/2022,Common side effects may include mild fever,a5606f66-456e-4e56-9467-4218068ae1dc,ee68f715-c13b-42c8-b389-1e7eb902e3ec
ef92b423-6a1c-492c-8298-1ff14c2383b6,Canine Influenza,5/24/2018,4/15/2004,Ensure pet is up-to-date with previous vaccinations,a6e5b3a8-6c42-4cbb-b715-2cbcbe678151,700f536e-1c77-40d0-900d-b2b70b429a87
bf1171ae-14e7-4fcb-93af-e66dd8b2cc7d,DHPP (Canine Distemper,11/19/2021,12/21/2015,Notify vet of any unusual behavior or signs post-vaccination,757c0f35-7afc-4376-a3a2-cb7a6d035703,df24be23-3319-49ac-a0cf-bacd4af8629e
a83032c6-7f36-46fd-b64b-64055055c407,H3N2 Canine Influenza,1/29/2003,7/3/2024,Keep pet calm after vaccination,21c9bfde-d049-461a-99c1-c7dedb351431,b80215bc-fe1b-4781-98da-6b63b6dd2469
e911dafc-c448-45d5-af6e-f58820ead1dd,FIP (Feline Infectious Peritonitis),5/2/2013,7/13/2024,Vaccination may cause temporary loss of appetite,95e8f4ea-50bf-491b-a649-4b1864673b68,df66b46d-76b3-4966-962f-d90b54965ac7
4fae37c6-a490-4e96-80e4-cdf0a60a3582,Canine Influenza,2/18/2021,11/7/2000,Avoid strenuous exercise for 24 hours,24874bfa-d5dc-4afc-91ca-181a69e90cd2,f43409fc-6e08-4b76-822a-b1f151010f5b
14218090-6620-491d-ad7b-3fa078ec4e45,Hepatitis,4/11/2009,11/3/2019,Common side effects may include mild fever,77ac57b7-2992-4588-af0e-63cbd0967d4d,4168f51d-c2fe-4952-8416-57868f4035e0
02bd0db4-2601-45ff-8b43-f436e95f4e04,RCP (Feline Rhinotracheitis,5/4/2001,3/21/2007,Follow-up appointment required in 2 weeks,96c1218f-7dba-4a31-8fdf-459478324b26,816d02ba-3bbf-4d46-b116-e33da7f614c9
fbf6ceb1-e03e-4f5a-8540-e4a04bfe05f7,Kennel Cough,10/23/2021,6/6/2001,Common side effects may include mild fever,054a7c2c-2baa-470b-9e34-27415496242f,2f239ba1-7fcb-4f5f-b53d-ca2eed2bd6ae
380f6680-8157-4098-b8d9-c46db4517074,Feline Panleukopenia,4/26/2007,9/13/2023,Inform vet if pet is pregnant or ill,ef3a091f-d9c0-46cd-bbb9-a205a37c04cd,aceaa675-8e2c-44f9-9939-dbf5998d55b3
dd347be7-ffa5-423c-a8f5-48aa7e107e24,Lyme Disease,8/15/2010,5/20/2004,Avoid stress for the next few days,a5606f66-456e-4e56-9467-4218068ae1dc,21c929ea-69b1-4422-823b-35f2b4a913a9
a14cc73e-1c9a-40c5-a9e1-8e1758e35eb5,Feline Panleukopenia,7/2/2001,12/5/2008,Vaccination may cause temporary loss of appetite,2367d2fc-bdc1-4402-aab5-4e20e7af8274,6f15ac7b-e857-41ae-b67b-b176dd8cedbc
e82ca301-39eb-418d-abba-b48b6dbf0180,Tetanus,3/10/2009,2/19/2024,Administer any prescribed post-vaccination medication,b2a04c9f-ca6f-40c0-b915-9c85da5b003e,d15a3590-f9ff-4cce-a728-56d6221344ba
3965cc7c-50f4-4197-9eee-f8297674a689,Lyme Disease,1/31/2015,6/26/2016,Check vaccination record for upcoming boosters,2bba2aa6-ceca-4bb6-82a9-46613185f2e1,7a278e2d-3850-4e08-b66b-8810c81fb30e
a0cbf459-3434-4f46-ba3f-dca869fd8df7,Feline Calicivirus,6/8/2002,11/4/2019,Check vaccination record for upcoming boosters,b1b80f4c-2385-4316-be74-35f3efac0a4a,6cf5e671-a006-4a0a-a550-87b2a42e0123
2afb6d46-cbe2-4ae8-b669-201ff86d0970,FIP (Feline Infectious Peritonitis),1/10/2012,6/13/2000,Administer booster shot in 3 weeks,5c220490-eaf8-4966-9fa2-1dbfc86527f2,5cc2cf52-b07d-4856-8fb3-cabbbfba4cb6
49a5d31d-0f52-46a9-adf2-8172bfd93cf0,RCP (Feline Rhinotracheitis,1/23/2024,1/17/2010,Follow-up appointment required in 2 weeks,e9badd63-dcda-4640-ae87-c861253e041e,df66b46d-76b3-4966-962f-d90b54965ac7
e9483e55-a35f-4217-a015-ae015b1332f5,RCP (Feline Rhinotracheitis,7/10/2004,6/22/2009,Notify vet of any unusual behavior or signs post-vaccination,d025fd47-1808-4260-8054-4c069c95f53e,7a278e2d-3850-4e08-b66b-8810c81fb30e
cf190ab8-1b06-4fcd-8e02-5835192366af,Feline Rhinotracheitis,5/24/2007,4/30/2009,Keep pet calm after vaccination,98a430c0-803c-496e-a88b-25362fc2f4b0,c754e3c3-83fb-442b-8366-702e27264941
